65.4 13.497 80.1 33.689
61.3 12.683 76.9 32.104
63.1 12.646 77.6 33.107
63.7 12.862 75.6 31.525
64.9 12.843 77.0 33.309
64.6 13.135 75.8 32.01
64.6 12.955 74.5 31.487
65.0 13.374 74.3 30.629
65.0 13.273 74.0 29.983
61.3 12.487 73.8 30.363
64.3 13.017 73.7 29.156
64.8 13.34 72.4 28.481
63.4 12.939 73.6 28.227
64.0 12.844 74.4 28.381
63.9 13.153 71.9 26.883
67.5 14.063 70.9 26.63
60.4 12.382 69.1 24.528
62.0 12.369 70.1 24.515
63.8 13.138 70.3 24.047
64.6 13.181 68.8 23.432
63.9 13.168 67.9 21.473
63.2 13.093 66.5 20.447
64.5 13.21 67.7 20.56
64.0 12.991 68.2 19.207
